product_name,product_description,product_price,product_category,product_brand,product_image,product_rating,product_reviews,product_color,product_size,product_material,product_occasion,product_prevPrice,product_isFavorite,product_isCart,product_isBadge
turpis adipiscing lorem vitae mattis nibh ligula nec sem,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",578.01,necklace,Livetube,https://example.com/image3.jpg,1.4,385,Platinum,small,diamond,Office,1618.992619712,true,false,New
vitae,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1372.32,bracelate,Twitterlist,https://example.com/image2.jpg,4.6,218,Platinum,small,silver,Office,2040.208965617,true,false,New
turpis enim blandit mi in porttitor pede justo eu massa,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",353.0,ring,Thoughtsphere,https://example.com/image3.jpg,2.6,310,Rosegold,medium,silver,Bridal,2455.761199064,true,false,New
neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",1329.03,earring,Topicblab,https://example.com/image3.jpg,2.1,174,pink,large,silver,Engagement,2058.099360646,false,false,Trending
ut nunc,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1146.84,earring,Topiczoom,https://example.com/image1.jpg,3.9,808,Rosegold,medium,diamond,Bridal,1959.158683461,false,false,New
faucibus cursus urna ut tellus nulla,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1096.55,earring,Wordpedia,https://example.com/image3.jpg,4.2,327,pink,large,diamond,Casual,2312.399696123,true,false,""
quisque erat eros viverra,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",307.98,bracelate,Photofeed,https://example.com/image1.jpg,2.2,808,Platinum,medium,silver,Bridal,2333.500523054,false,false,""
fermentum justo nec condimentum neque sapien placerat,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1149.27,bracelate,Oyonder,https://example.com/image3.jpg,2.0,751,Platinum,small,silver,Traditional,2171.010850091,true,false,New
sem sed sagittis nam,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1397.83,bracelate,Shufflester,https://example.com/image3.jpg,5.0,460,pink,large,gold,Modern,2498.170556377,true,false,""
eu massa donec dapibus duis at velit eu est,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",370.72,earring,Eire,https://example.com/image3.jpg,3.1,199,Gold,medium,platinum,Modern,2261.937186785,true,false,Trending
quis odio consequat varius integer ac leo,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",313.99,earring,Vinder,https://example.com/image1.jpg,3.6,538,Silver,small,gold,Modern,1598.544828229,true,false,""
pede ullamcorper augue a suscipit,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",427.32,earring,Vidoo,https://example.com/image3.jpg,4.9,485,Gold,medium,diamond,Casual,2086.551254417,false,false,""
nisi venenatis tristique fusce congue,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",565.51,earring,Browsetype,https://example.com/image1.jpg,2.0,949,Silver,extra large,gold,Engagement,1789.609444768,true,false,Trending
nisi at nibh in hac habitasse,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1402.06,bracelate,Dynabox,https://example.com/image3.jpg,4.9,531,pink,small,diamond,Bridal,1579.341041624,false,false,Trending
nec nisi vulputate nonummy maecenas tincidunt,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",811.73,ring,Twitterwire,https://example.com/image3.jpg,1.1,424,green,small,gold,Engagement,2109.069121786,true,false,""
bibendum felis sed interdum venenatis,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1151.0,earring,Tavu,https://example.com/image2.jpg,2.8,792,green,extra large,diamond,Modern,1654.237902029,false,false,Trending
donec quis orci eget orci vehicula condimentum curabitur in libero,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",629.03,necklace,Zoozzy,https://example.com/image3.jpg,1.5,960,blue,large,diamond,Modern,1938.967964858,false,false,Trending
molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",577.73,ring,Zoomlounge,https://example.com/image3.jpg,2.2,950,Platinum,extra large,diamond,Modern,2063.210587842,false,false,New
erat eros,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",728.02,bracelate,Chatterbridge,https://example.com/image3.jpg,2.4,739,green,large,platinum,Office,2388.845761076,true,false,Trending
nibh,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1065.13,ring,Brainlounge,https://example.com/image3.jpg,1.1,551,Rosegold,large,diamond,Modern,2494.845584182,false,false,Trending
in faucibus orci luctus et ultrices,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,241.81,necklace,Bubbletube,https://example.com/image3.jpg,2.1,9,pink,large,platinum,Casual,1850.714951838,false,false,""
ut volutpat sapien arcu sed augue aliquam erat,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1445.36,necklace,Jabbercube,https://example.com/image1.jpg,3.4,527,blue,medium,platinum,Modern,2073.070195148,false,false,New
vestibulum,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",1346.12,ring,Kwilith,https://example.com/image1.jpg,3.9,312,Gold,large,gold,Engagement,1650.675766157,true,false,New
interdum,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",272.97,earring,Rhynyx,https://example.com/image2.jpg,5.0,783,Rosegold,large,silver,Bridal,1771.127714597,false,false,""
eu nibh quisque id justo sit,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",399.87,bracelate,Tekfly,https://example.com/image1.jpg,2.2,144,blue,small,gold,Bridal,2123.757832947,false,false,New
mauris non ligula pellentesque,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1358.75,ring,Skyble,https://example.com/image3.jpg,1.2,325,pink,extra large,silver,Traditional,1882.12025073,true,false,New
dictumst,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1377.27,ring,Jatri,https://example.com/image3.jpg,4.3,190,Silver,medium,gold,Modern,1510.823836741,true,false,New
semper interdum,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",690.72,necklace,Jabbersphere,https://example.com/image3.jpg,2.4,192,blue,extra large,platinum,Bridal,1601.725795047,true,false,New
sed lacus,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",431.93,necklace,Trudeo,https://example.com/image2.jpg,4.2,478,Platinum,small,diamond,Office,2447.396037097,false,false,""
potenti nullam porttitor lacus at turpis donec posuere,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",368.94,bracelate,Jaxnation,https://example.com/image3.jpg,2.5,586,pink,extra large,diamond,Bridal,2169.172758072,true,false,New
ac neque duis,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",925.69,earring,Oozz,https://example.com/image2.jpg,1.8,398,Platinum,medium,silver,Bridal,2111.896681033,true,false,New
mauris,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",583.72,bracelate,Skinte,https://example.com/image3.jpg,1.0,119,blue,large,platinum,Modern,2446.322646765,true,false,Trending
augue,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1007.9,ring,Trudoo,https://example.com/image1.jpg,3.4,891,blue,large,silver,Office,2219.424112201,false,false,Trending
in hac habitasse platea dictumst aliquam augue quam sollicitudin,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",357.69,ring,Jayo,https://example.com/image3.jpg,2.2,927,Rosegold,medium,platinum,Casual,1609.02920946,false,false,""
rutrum neque aenean auctor gravida sem praesent id,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",944.22,ring,Kamba,https://example.com/image2.jpg,4.9,902,blue,extra large,silver,Bridal,2169.565248186,false,false,New
posuere cubilia,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,572.51,ring,Rhycero,https://example.com/image1.jpg,4.2,338,blue,large,platinum,Engagement,2469.075932669,true,false,New
habitasse platea dictumst maecenas ut,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",852.07,bracelate,Zoonder,https://example.com/image1.jpg,3.3,327,blue,large,silver,Modern,1635.855746397,true,false,Trending
sit amet consectetuer adipiscing elit proin,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",571.26,bracelate,Shufflester,https://example.com/image1.jpg,4.3,781,green,medium,diamond,Office,1953.488626953,false,false,New
sed ante vivamus tortor duis mattis egestas,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",735.25,ring,Vinder,https://example.com/image1.jpg,4.6,258,Gold,medium,diamond,Casual,2025.593992707,false,false,""
duis faucibus,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",362.59,necklace,Wordify,https://example.com/image2.jpg,2.8,1,blue,large,diamond,Modern,1505.373274209,true,false,New
nulla nisl nunc,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",380.93,necklace,Browsebug,https://example.com/image2.jpg,4.3,362,Silver,medium,silver,Engagement,2307.045247355,true,false,New
nulla suspendisse,Fusce consequat. Nulla nisl. Nunc nisl.,1404.65,ring,Vimbo,https://example.com/image1.jpg,2.3,226,Silver,medium,platinum,Modern,2443.886360429,true,false,New
scelerisque,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1137.7,bracelate,Realcube,https://example.com/image1.jpg,2.5,291,blue,extra large,platinum,Bridal,2283.720315225,true,false,New
aliquet at feugiat non pretium quis lectus,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,882.59,necklace,Avamm,https://example.com/image2.jpg,2.6,486,Silver,small,diamond,Traditional,1902.878515974,true,false,Trending
dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",255.79,necklace,Oyondu,https://example.com/image3.jpg,2.4,750,blue,medium,silver,Traditional,1997.941398698,true,false,New
sapien placerat ante nulla justo aliquam quis,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",927.85,bracelate,Kwinu,https://example.com/image2.jpg,3.0,747,blue,small,silver,Modern,1966.878932961,false,false,New
erat fermentum justo nec condimentum neque sapien placerat ante nulla,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",531.41,necklace,Flipbug,https://example.com/image2.jpg,4.1,769,Rosegold,small,silver,Bridal,2186.789983215,true,false,""
pulvinar lobortis est phasellus sit amet,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1068.34,ring,Topicshots,https://example.com/image1.jpg,3.2,820,Gold,extra large,silver,Bridal,1848.419053043,true,false,Trending
at nunc commodo placerat praesent blandit nam nulla,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1165.39,bracelate,Livefish,https://example.com/image2.jpg,3.0,562,Rosegold,small,silver,Office,2057.163336118,true,false,Trending
risus semper porta,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",964.03,necklace,Wikido,https://example.com/image1.jpg,4.8,893,Rosegold,small,gold,Engagement,2003.408043893,true,false,""
